"","STATEFP","UrbanAreaNo","income","age","income.LowestQuintile","income.SecondQuintile","income.ThirdQuintile","income.FourthQuintile","pop","white","hispanic","africanamerican","asian","twoormoreraces","educated","unemployed","notworkforce","gini","rent","State","UrbanArea","pct_white","pct_africanamerican","pct_asian","pct_hispanic","pct_twoormoreraces","pct_highed","pct_unem"
"2173","Monticello, IA","58789",43030,44,22397,39750,50500,76243,3318,3277,12,0,15,26,238,100,930,0.4071,476," IA","Monticello",0.987643158529234,0,0.00452079566003617,0.00361663652802893,0.00783604581072935,0.0717299578059072,0.0418760469011725
"2174","Monticello, KY","58816",25022,36.8,9839,17461,29385,48672,6562,6048,471,57,0,104,375,407,2543,0.4868,463," KY","Monticello",0.921670222493142,0.00868637610484608,0,0.0717768972874124,0.015848826577263,0.0571472112160927,0.101268972381189
"2175","Monticello, NY","58843",21651,34.4,9778,17073,33736,61431,7989,3961,1957,2811,25,574,725,556,2728,0.4928,749," NY","Monticello",0.495806734259607,0.351858805858055,0.00312930279133809,0.244961822505946,0.0718487920891225,0.0907497809488046,0.105683330165368
"2176","Monticello--Big Lake, MN","58870",72090,32,34839,59715,83392,120972,26649,24967,1715,292,193,381,4352,838,4411,0.3428,927," MN","Monticello--Big Lake",0.936883185110135,0.0109572591842095,0.00724229802243987,0.0643551352771211,0.0142969717437803,0.163308191676986,0.0376832448961237
"2177","Montpelier, OH","58924",35607,37,17265,28118,42228,60400,3909,3739,89,6,47,45,298,207,1084,0.3753,556," OH","Montpelier",0.956510616525966,0.00153491941673062,0.0120235354310565,0.0227679713481709,0.0115118956254797,0.0762343310309542,0.0732743362831858
"2178","Montrose, CO","58951",43279,42,18739,32522,52133,78135,22485,20162,5867,118,94,622,4089,1063,6980,0.402,796," CO","Montrose",0.896686680008895,0.00524794307315988,0.00418056482099177,0.260929508561263,0.0276628863686902,0.181854569713142,0.0685585295066108
"2179","Montrose, MN","58961",64549,30.2,30533,51404,74049,99586,4730,4482,259,10,27,65,573,155,644,0.3795,797," MN","Montrose",0.947568710359408,0.00211416490486258,0.00570824524312896,0.0547568710359408,0.0137420718816068,0.121141649048626,0.0379344101811062
"2180","Moodus, CT","58972",90701,42,40417,69135,94881,141250,2309,2249,29,47,0,13,386,95,508,0.3572,1138," CT","Moodus",0.974014724989173,0.0203551320918146,0,0.0125595495885665,0.00563014291901256,0.167171935902988,0.0527484730705164
"2181","Moorefield, WV","58992",29522,41.3,13840,24375,34537,50109,2644,2019,331,386,41,85,224,82,812,0.4117,471," WV","Moorefield",0.763615733736763,0.145990922844176,0.0155068078668684,0.125189107413011,0.0321482602118003,0.0847201210287443,0.0447598253275109
"2182","Moore Haven, FL","59005",30063,33.3,9549,22359,36443,53717,4438,2875,1345,1447,7,4,153,271,2246,0.4487,759," FL","Moore Haven",0.64781433077963,0.326047769265435,0.00157728706624606,0.303064443442992,0.000901306894997747,0.0344749887336638,0.123631386861314
"2183","Moorhead, MS","59059",19583,28.9,7872,13779,27697,44118,2197,199,0,1959,7,32,88,404,686,0.4757,491," MS","Moorhead",0.0905780609922622,0.891670459717797,0.00318616294947656,0,0.0145653163404643,0.0400546199362767,0.267372600926539
"2184","Moose Lake, MN","59098",42155,46,16732,33813,50457,79333,3051,2532,80,249,10,119,407,85,1762,0.4325,678," MN","Moose Lake",0.829891838741396,0.0816125860373648,0.00327761389708292,0.0262209111766634,0.0390036053752868,0.133398885611275,0.0659425911559348
"2185","Mora, MN","59113",39274,44.5,16515,30467,44631,66735,3461,3363,106,0,13,27,495,239,1116,0.3798,716," MN","Mora",0.971684484253106,0,0.00375613984397573,0.0306269864201098,0.00780121352210344,0.14302224790523,0.101918976545842
"2186","Morehead, KY","59167",31888,23.4,10396,18963,41369,72289,6848,6566,26,122,93,60,1097,112,3659,0.4947,607," KY","Morehead",0.958820093457944,0.0178154205607477,0.0135806074766355,0.00379672897196262,0.00876168224299065,0.160192757009346,0.0351207275007839
"2187","Morehead City, NC","59194",47634,45.1,20851,38094,57769,92603,46822,41195,2128,3050,644,871,9575,2531,15000,0.4623,785," NC","Morehead City",0.879821451454444,0.0651403186536244,0.0137542181026013,0.0454487206868566,0.0186023664089531,0.204497885609329,0.0795361699453209
"2188","Morgan, UT","59210",70601,30.1,37360,53643,77940,107056,3701,3549,208,0,28,48,673,108,834,0.3455,730," UT","Morgan",0.958930018913807,0,0.00756552283166712,0.0562010267495272,0.0129694677114293,0.181842745203999,0.0376700383676317
"2189","Morgan City, LA","59221",44935,36.6,16464,34613,54493,88063,32378,21937,2462,7453,531,1210,2460,1439,9987,0.4557,688," LA","Morgan City",0.677527951077892,0.230187164123788,0.0164000247081352,0.0760392859348941,0.0373710544196677,0.0759775155970103,0.0642668929480595
"2190","Morganfield, KY","59248",23611,30,15106,20151,33969,54675,5512,3742,127,1543,55,104,235,190,2772,0.4487,550," KY","Morganfield",0.678882438316401,0.279934687953556,0.00997822931785196,0.0230406386066763,0.0188679245283019,0.0426342525399129,0.0693430656934307
"2191","Morgantown, WV","59275",41036,27.3,10884,28262,55897,95294,73051,64307,1677,3480,3107,1670,18304,2527,25881,0.5362,740," WV","Morgantown",0.880302802151921,0.0476379515680826,0.0425319297477105,0.0229565645918605,0.0228607411260626,0.25056467399488,0.0535721857112572
"2192","Morrilton, AR","59302",28194,35.1,12396,22655,45015,78778,6246,5081,621,1065,0,100,799,336,2027,0.5061,672," AR","Morrilton",0.813480627601665,0.170509125840538,0,0.0994236311239193,0.016010246557797,0.127921869996798,0.0796397250533302
"2193","Morris, IL","59329",58522,38.7,23843,45660,74852,112542,15743,15065,2057,228,104,30,2559,687,4328,0.4358,882," IL","Morris",0.956933240170234,0.0144826271993902,0.00660611065235343,0.130661246268183,0.00190560884202503,0.162548434224735,0.0601839684625493
"2194","Morris, MN","59356",41250,27.3,14451,29523,55464,94895,5139,4623,164,54,125,151,864,99,1537,0.575,538," MN","Morris",0.899591360186807,0.010507880910683,0.0243237984043588,0.0319128235065188,0.0293831484724655,0.168126094570928,0.0274847307051638
"2195","Morrison, IL","59383",46546,41.3,22528,36770,55216,90014,3983,3738,242,68,8,32,450,120,1326,0.4272,666," IL","Morrison",0.938488576449912,0.0170725583730856,0.00200853627918654,0.0607582224453929,0.00803414511674617,0.112980165704243,0.0451637184794881
"2196","Morristown, TN","59410",37514,38.1,15653,28931,45994,74342,59100,52338,6725,2743,414,1366,7134,3173,20180,0.4618,641," TN","Morristown",0.885583756345178,0.0464128595600677,0.00700507614213198,0.113790186125212,0.0231133671742809,0.120710659898477,0.0815262076053443
"2197","Morro Bay--Los Osos, CA","59437",54258,50.8,24863,42270,68954,106871,27049,24392,3693,51,1089,783,8179,1087,9935,0.4556,1287," CA","Morro Bay--Los Osos",0.901770860290584,0.00188546711523531,0.0402602684017893,0.136530001109098,0.0289474657103775,0.302377167362934,0.0635152506719645
"2198","Morton, MS","59464",30313,29.1,18500,25519,40863,52694,2825,1792,756,944,0,58,168,159,711,0.3648,587," MS","Morton",0.634336283185841,0.334159292035398,0,0.267610619469027,0.0205309734513274,0.0594690265486726,0.0752128666035951
"2199","Moscow, ID","59491",33385,24.7,11600,26456,44270,80405,24653,22670,1113,192,783,737,6590,1248,7607,0.488,648," ID","Moscow",0.919563541962439,0.00778809881150367,0.0317608404656634,0.0451466352979353,0.029894941792074,0.267310266499006,0.0732136571629708
"2200","Moscow, PA","59501",70326,44.5,36824,53841,87862,143900,3198,3143,28,8,27,17,814,80,982,0.4631,855," PA","Moscow",0.982801751094434,0.00250156347717323,0.00844277673545966,0.00875547217010632,0.00531582238899312,0.254534083802376,0.036101083032491
"2201","Moses Lake, WA","59518",44239,32.4,19544,34529,54616,86406,33042,25591,9378,688,400,1482,3494,2033,9016,0.4342,733," WA","Moses Lake",0.774499122329157,0.0208219841413958,0.0121058047333697,0.283820591973851,0.0448520065371346,0.105744204345984,0.0846166652792808
"2202","Moulton, AL","59545",38462,47.9,14085,26603,51896,77184,2794,2243,32,476,7,28,375,95,1190,0.433,465," AL","Moulton",0.802791696492484,0.170365068002863,0.00250536864710093,0.0114531138153185,0.0100214745884037,0.134216177523264,0.0592269326683292
"2203","Moultrie, GA","59572",24309,34.6,11538,20005,31701,54506,18392,10085,2821,7919,1,187,1310,692,6428,0.5161,592," GA","Moultrie",0.548336233144846,0.430567638103523,5.43714658547194e-05,0.153381905176164,0.0101674641148325,0.0712266202696825,0.0578401872283517
"2204","Moundville, AL","59605",42863,37,17917,32250,57381,76864,2872,1733,111,1036,0,0,342,55,993,0.3977,892," AL","Moundville",0.603412256267409,0.360724233983287,0,0.0386490250696379,0,0.11908077994429,0.0292708887706227
"2205","Mountain City, TN","59626",26399,43.5,9323,20694,30273,56395,2671,2526,56,94,2,16,219,157,1235,0.4783,501," TN","Mountain City",0.945713216023961,0.0351928116810183,0.00074878322725571,0.0209659303631599,0.00599026581804568,0.0819917633845002,0.10933147632312
"2206","Mountain Grove, MO","59653",27098,37.4,15185,25032,33425,55756,4516,4346,87,9,0,74,366,135,1626,0.3962,522," MO","Mountain Grove",0.962356067316209,0.00199291408325952,0,0.0192648361381754,0.0163861824623561,0.0810451727192205,0.0467128027681661
"2207","Mountain Home, AR","59680",32518,52.2,15593,25458,41353,64358,13600,13096,176,76,121,179,1877,384,6398,0.4266,580," AR","Mountain Home",0.962941176470588,0.00558823529411765,0.00889705882352941,0.0129411764705882,0.0131617647058824,0.138014705882353,0.0533185226326021
"2208","Mountain Home, ID","59707",45025,31.4,21730,37470,55989,80105,16636,14538,2184,390,428,718,1575,675,4051,0.4076,717," ID","Mountain Home",0.873887953835056,0.0234431353690791,0.0257273383024766,0.131281558066843,0.0431594133205097,0.0946742005289733,0.0536352800953516
"2209","Mountain Home AFB, ID","59734",35857,22.2,24276,32412,41162,53560,3133,2459,234,184,291,129,299,80,520,0.3124,915," ID","Mountain Home AFB",0.784870730928822,0.0587296520906479,0.0928822215129269,0.0746887966804979,0.041174593041813,0.0954356846473029,0.0306161500191351
"2210","Mountain House, CA","59745",105917,33.6,59398,88346,115244,141848,11774,4014,2061,1683,3268,1821,2817,922,2419,0.2788,2001," CA","Mountain House",0.340920672668592,0.142942075760149,0.27756072702565,0.175046713096654,0.154662816375064,0.239255987769662,0.0985569214323891
"2211","Mountain Lake Park, MD","59761",35259,41.4,12880,25000,47625,82632,5201,4923,33,141,27,90,824,198,2018,0.4719,579," MD","Mountain Lake Park",0.946548740626802,0.0271101711209383,0.00519130936358393,0.00634493366660258,0.0173043645452798,0.158431070947895,0.0622054665409991
"2212","Mount Airy, NC--VA","59815",31875,43.1,13737,25248,39093,67913,19854,17811,1594,1351,177,317,2671,755,7448,0.4867,630," NC--VA","Mount Airy",0.897098821396192,0.0680467412108391,0.00891508008461771,0.0802860884456533,0.0159665558577617,0.134532084214768,0.0608576495244237
"2213","Mount Angel, OR","59827",41995,36.7,18533,36687,54526,74567,3514,3036,947,15,41,57,356,172,1336,0.3927,1005," OR","Mount Angel",0.863972680705748,0.00426863972680706,0.0116676152532726,0.269493454752419,0.0162208309618668,0.101309049516221,0.0789715335169881
"2214","Mount Carmel, IL","59842",42031,44.5,16152,32604,53014,82523,7166,6933,131,31,80,79,945,358,2270,0.4703,584," IL","Mount Carmel",0.967485347474184,0.00432598381244767,0.0111638291934133,0.0182807703042143,0.0110242813284957,0.131872732347195,0.0731209150326797
"2215","Mount Gilead, OH","59896",36943,46,19712,31616,51480,82287,3809,3723,39,33,0,53,427,227,1157,0.4172,594," OH","Mount Gilead",0.977421895510633,0.00866369125754791,0,0.0102389078498294,0.0139144132318194,0.112102914150696,0.0855957767722474
"2216","Mount Holly Springs, PA","59910",62111,41.3,30208,49250,75000,107727,4241,4046,77,181,0,14,606,155,955,0.4228,693," PA","Mount Holly Springs",0.954020278236265,0.0426786135345437,0,0.0181560952605518,0.00330110822919123,0.142890827634992,0.0471698113207547
"2217","Mount Hood Village, OR","59923",56827,49.9,24479,45109,68750,95682,3867,3814,202,0,0,53,690,271,1254,0.4574,826," OR","Mount Hood Village",0.986294284975433,0,0,0.052236876131368,0.0137057150245668,0.178432893716059,0.10371220818982
"2218","Mount Horeb, WI","59950",62936,39.7,30490,44781,74281,106983,7011,6912,67,15,0,84,1773,182,1416,0.3796,857," WI","Mount Horeb",0.985879332477535,0.00213949507916132,0,0.00955641135358722,0.0119811724433034,0.252888318356868,0.0325290437890974
"2219","Mount Morris, IL","59977",35393,39.8,14218,23410,51675,80703,3623,3571,260,2,0,0,358,318,1074,0.4528,572," IL","Mount Morris",0.98564725365719,0.000552028705492686,0,0.0717637317140491,0,0.0988131382831907,0.124754805806199
"2220","Mount Morris, NY","60004",43182,39.4,17297,33275,49895,77563,3419,3246,315,90,5,73,265,124,932,0.39,675," NY","Mount Morris",0.949400409476455,0.026323486399532,0.00146241591108511,0.0921322023983621,0.0213512723018426,0.077508043287511,0.049859268194612
"2221","Mount Olive, NC","60031",26161,32.8,11092,22168,32766,57920,5280,2102,776,2510,0,43,458,493,1916,0.5031,642," NC","Mount Olive",0.398106060606061,0.475378787878788,0,0.146969696969697,0.00814393939393939,0.0867424242424242,0.146551724137931
"2222","Mount Orab, OH","60058",41106,31.1,21300,35384,46000,85767,2839,2738,57,87,0,14,156,34,783,0.4017,668," OH","Mount Orab",0.96442409299049,0.030644593166608,0,0.0200774920746742,0.00493131384290243,0.0549489256780557,0.0165369649805447
"2223","Mount Pleasant, IA","60085",46136,34.7,17799,34735,54840,78942,8638,7585,537,396,381,246,1152,162,3050,0.4662,587," IA","Mount Pleasant",0.878096781662422,0.0458439453577217,0.0441074322759898,0.0621671683260014,0.0284788145404029,0.133364204677009,0.0289906943450251
"2224","Mount Pleasant, MI","60112",26451,21.9,10121,20300,35322,67537,37740,31840,1577,1535,1081,1810,5045,2630,12750,0.5402,693," MI","Mount Pleasant",0.843667196608373,0.0406730259671436,0.0286433492315845,0.0417859035506094,0.0479597244303127,0.133677795442501,0.105242096838735
"2225","Mount Pleasant, TN","60139",24853,42.9,10542,20332,34860,66955,3486,2726,253,538,0,222,234,226,1260,0.5232,463," TN","Mount Pleasant",0.781985083189902,0.154331612162937,0,0.0725760183591509,0.0636833046471601,0.0671256454388985,0.101527403414196
"2226","Mount Pleasant, TX","60166",35733,28.5,17632,29466,44759,67424,15819,11300,8771,2353,67,343,1017,539,3917,0.4443,619," TX","Mount Pleasant",0.714330867943612,0.148745179847019,0.00423541311081611,0.554459826790568,0.0216827865225362,0.0642897781149251,0.0452865064695009
"2227","Mount Pleasant, UT","60176",47583,30.7,19333,39814,57981,83139,3281,3078,319,14,20,34,388,124,1007,0.3763,541," UT","Mount Pleasant",0.938128619323377,0.00426699177080159,0.00609570252971655,0.097226455348979,0.0103626943005181,0.118256629076501,0.0545294635004398
"2228","Mount Pocono--Emerald Lakes, PA","60195",54993,36.8,25614,45111,66684,97113,24980,15074,4760,7330,523,994,2621,2416,6608,0.4016,1231," PA","Mount Pocono--Emerald Lakes",0.603442754203363,0.293434747798239,0.0209367493995196,0.190552441953563,0.0397918334667734,0.104923939151321,0.131504463313738
"2229","Mount Shasta--Weed, CA","60223",39799,44.7,14059,28821,49550,77930,7767,6913,1004,158,70,327,1610,399,2643,0.488,838," CA","Mount Shasta--Weed",0.890047637440453,0.0203424745719068,0.00901248873438908,0.129264838418952,0.0421011973735033,0.207287240890949,0.0778688524590164
"2230","Mount Sterling, IL","60247",36917,34.9,17310,28150,47789,74667,2946,2221,117,581,61,83,214,84,1387,0.4019,444," IL","Mount Sterling",0.753903598099117,0.197216564833673,0.0207060420909708,0.0397148676171079,0.028173794976239,0.0726408689748812,0.053880692751764
"2231","Mount Sterling, KY","60274",39015,41.5,13462,26708,50541,80770,10910,9856,263,594,11,162,1661,738,3486,0.518,626," KY","Mount Sterling",0.903391384051329,0.0544454628780935,0.00100824931255729,0.0241063244729606,0.0148487626031164,0.15224564619615,0.0994073275862069
"2232","Mount Union, PA","60301",27519,40.6,11606,21013,34727,59294,4055,3694,65,259,4,93,316,297,1390,0.4313,506," PA","Mount Union",0.910974106041924,0.0638717632552404,0.000986436498150432,0.0160295930949445,0.0229346485819975,0.0779284833538841,0.111444652908068
"2233","Mount Vernon, IL","60328",34134,37.8,14080,27240,43436,73401,16017,12669,405,2195,329,650,1913,1124,5037,0.4805,609," IL","Mount Vernon",0.790972092152088,0.1370418929887,0.020540675532247,0.0252856340138603,0.0405818817506399,0.119435599675345,0.102367941712204
"2234","Mount Vernon, IN","60355",43272,39,17422,35875,58979,99196,6899,6364,183,187,28,127,908,205,2418,0.4853,602," IN","Mount Vernon",0.92245252935208,0.0271053775909552,0.00405855921147992,0.0265255834178867,0.0184084649949268,0.131613277286563,0.0457487168042848
"2235","Mount Vernon, IA","60382",62031,30.5,27821,46888,74798,109186,6311,5726,411,50,32,207,1540,83,1593,0.3669,705," IA","Mount Vernon",0.907304706068769,0.00792267469497702,0.0050705118047853,0.0651243859927111,0.0327998732372049,0.244018380605292,0.0175922000847817
"2236","Mount Vernon, KY","60409",19517,37.2,8948,15015,25093,49981,2519,2472,0,17,8,0,222,188,1054,0.518,420," KY","Mount Vernon",0.981341802302501,0.00674870980547836,0.00317586343787217,0,0,0.0881302104009528,0.128327645051195
"2237","Mount Vernon, MO","60436",34381,39.1,15689,28688,41527,59877,4544,4427,484,21,0,47,394,216,1768,0.3993,713," MO","Mount Vernon",0.97425176056338,0.00462147887323944,0,0.106514084507042,0.0103433098591549,0.0867077464788732,0.0778097982708934
"2238","Mount Vernon, OH","60463",38020,33.3,15630,29372,46948,72246,21763,20961,183,253,78,391,3021,1134,7652,0.4548,674," OH","Mount Vernon",0.96314846298764,0.0116252354914304,0.00358406469696274,0.00840876717364334,0.0179662730322106,0.138813582686211,0.0803628375026575
"2239","Mount Vernon, TX","60473",38801,37,15920,27707,42408,63057,2426,1972,440,255,27,20,332,51,830,0.3918,670," TX","Mount Vernon",0.812860676009893,0.105111294311624,0.0111294311624073,0.181368507831822,0.00824402308326463,0.136850783182193,0.0319548872180451
"2240","Mount Vernon, WA","60490",48375,34.7,22139,38277,58276,91339,62872,51799,16503,586,1313,2350,7609,2841,18394,0.4279,943," WA","Mount Vernon",0.823880264664716,0.00932052423972516,0.0208837002163125,0.26248568520168,0.0373775289477033,0.121023667133223,0.0638742749224336
"2241","Mukwonago, WI","60517",78806,41.8,39975,65280,94083,123000,20579,19841,464,143,81,446,4430,389,4565,0.3491,835," WI","Mukwonago",0.964138199135041,0.00694883133291219,0.00393605131444677,0.0225472569123864,0.0216725788425094,0.215267991641965,0.0242912451604846
"2242","Muldrow--Roland, OK","60546",34454,31.5,13783,25479,41030,66198,5991,3946,303,220,71,793,333,325,1552,0.427,633," OK","Muldrow--Roland",0.658654648639626,0.0367217492906026,0.0118511099983308,0.0505758637956935,0.132365214488399,0.0555833750625939,0.0732146879927912
"2243","Muleshoe, TX","60571",40485,33.1,17244,29448,45014,70394,5111,4672,3133,119,24,24,247,175,1097,0.4412,554," TX","Muleshoe",0.914106828409313,0.0232831148503228,0.00469575425552729,0.612991586773626,0.00469575425552729,0.0483271375464684,0.0435974090682611
"2244","Mullins, SC","60598",26115,42.6,10429,19741,34038,60167,5656,1973,57,3597,8,78,730,362,2461,0.5259,365," SC","Mullins",0.348833097595474,0.635961810466761,0.00141442715700141,0.0100777934936351,0.0137906647807638,0.129066478076379,0.113302034428795
"2245","Muncie, IN","60625",34589,31.1,14140,27119,43373,71063,90493,78147,1870,6216,1324,3927,12729,5527,31631,0.4691,689," IN","Muncie",0.863569557866354,0.0686903959422276,0.0146309659310665,0.0206645817908568,0.0433956217607992,0.140662813698297,0.093897590975502
"2246","Muncy, PA","60652",43873,40.6,19920,35339,52837,81476,9020,8189,207,444,26,307,1180,378,3644,0.4073,613," PA","Muncy",0.907871396895787,0.0492239467849224,0.00288248337028825,0.0229490022172949,0.0340354767184035,0.130820399113082,0.0703125
"2247","Munising, MI","60684",37436,35.4,18136,31056,46200,85375,2723,1977,93,607,15,49,280,53,1587,0.4236,575," MI","Munising",0.726037458685274,0.222915901579141,0.00550863018729343,0.0341535071612192,0.0179948586118252,0.102827763496144,0.0466549295774648
"2248","Murfreesboro, NC","60706",43214,28.4,10986,33278,53273,95136,2881,1135,49,1709,4,33,404,239,1182,0.5389,479," NC","Murfreesboro",0.393960430406109,0.593196806664353,0.00138840680319334,0.0170079833391184,0.011454356126345,0.140229087122527,0.140670982931136
"2249","Murfreesboro, TN","60733",52312,31.2,22922,42262,64737,99352,138856,108091,6945,21105,4540,3515,29623,6340,34279,0.4288,870," TN","Murfreesboro",0.778439534481765,0.151991991703635,0.0326957423517889,0.0500158437518004,0.025313994353863,0.213336117992741,0.0606251852701837
"2250","Murphysboro, IL","60760",32412,39.7,12920,25907,43211,67887,9897,8476,84,1082,40,241,1431,519,3943,0.4282,590," IL","Murphysboro",0.856421137718501,0.109326058401536,0.00404162877639689,0.00848742043043346,0.0243508133777912,0.144589269475599,0.0871682902250588
"2251","Murray, KY","60787",31688,25,9247,20269,42300,76694,19732,17432,551,1224,584,342,3487,1227,7302,0.5303,527," KY","Murray",0.883438070139874,0.0620312183255625,0.0295965943644841,0.027924184066491,0.0173322521792013,0.176718021487938,0.0987127916331456
"2252","Murrieta--Temecula--Menifee, CA","60799",69395,33.6,31974,56189,83238,123216,465020,322449,151712,24294,33211,25779,67136,27992,123530,0.3903,1467," CA","Murrieta--Temecula--Menifee",0.693408885639327,0.0522429142832566,0.0714184336157585,0.326248333405015,0.0554363253193411,0.144372285063008,0.0819701894638203
"2253","Muscatine, IA","60814",47614,36.3,20747,38950,60364,87273,25398,23036,4372,572,312,322,3005,716,6475,0.4281,763," IA","Muscatine",0.907000551224506,0.0225214583825498,0.0122844318450272,0.172139538546342,0.0126781636349319,0.118316402866367,0.0378375521851715
"2254","Muskegon, MI","60841",42182,39,18080,32644,52121,83396,161391,129087,7569,22654,1687,5925,24026,10616,51287,0.464,693," MI","Muskegon",0.799840139784746,0.140367182804493,0.0104528753152282,0.0468985259401082,0.0367120843169693,0.148868276421857,0.0964179321368888
"2255","Muskogee, OK","60868",37781,35.9,15455,28748,48195,73404,41821,25265,2811,6188,391,3786,5349,1442,13589,0.4555,627," OK","Muskogee",0.604122330886397,0.14796394156046,0.00934936993376533,0.0672150355084766,0.0905286817627508,0.127902250065756,0.0510767922924341
"2256","Myrtle Beach--Socastee, SC--NC","60895",43550,45.3,19748,35260,52943,82019,226055,188665,15275,23406,2892,3822,43498,10706,79941,0.4496,847," SC--NC","Myrtle Beach--Socastee",0.834597774877795,0.103541173608193,0.0127933467518967,0.0675720510495234,0.016907389794519,0.192422198137621,0.0732715550871238
"2257","Mystic Island, NJ","60930",61358,43.9,28061,50124,75241,111730,22207,21218,1130,210,154,517,3329,1199,7222,0.3908,1266," NJ","Mystic Island",0.955464493177827,0.00945647768721574,0.00693475030395821,0.0508848561264466,0.0232809474490026,0.149907686765434,0.0800133466800134
"2258","Nacogdoches, TX","60949",31146,24.2,11132,23366,40023,69184,34580,21950,6915,10235,761,508,4658,1729,11577,0.512,728," TX","Nacogdoches",0.63475997686524,0.29598033545402,0.0220069404279931,0.199971081550029,0.0146905725853094,0.134702139965298,0.075164109029257
"2259","Nampa, ID","60976",41794,31,18959,33942,50122,71885,156908,141671,41401,863,1316,4678,15475,7593,40647,0.4006,755," ID","Nampa",0.902892140617432,0.00550003823896806,0.00838708032732557,0.263855252759579,0.0298136487623321,0.0986246717821908,0.0653099491661004
"2260","Nantucket, MA","61003",85943,37.9,42963,72656,101094,139532,8393,6808,711,847,115,463,2435,131,1520,0.4677,1723," MA","Nantucket",0.811152150601692,0.100917431192661,0.0137018944358394,0.0847134516859288,0.0551650184677708,0.290122721315382,0.0190600902080605
"2261","Nanty-Glo, PA","61030",37027,46.2,18361,32216,46159,69985,3968,3947,4,0,15,0,326,129,1417,0.3917,544," PA","Nanty-Glo",0.994707661290323,0,0.00378024193548387,0.00100806451612903,0,0.0821572580645161,0.0505684045472364
"2262","Napa, CA","61057",65860,37.9,28209,51630,81545,122475,85308,70553,32954,928,2044,2612,16363,4139,21870,0.4367,1352," CA","Napa",0.827038495803442,0.0108782294743752,0.0239602381957144,0.38629436864069,0.0306184648567543,0.191810850096122,0.0652448059522684
"2263","Napoleon, OH","61084",45288,39.1,19693,32797,54843,84932,8805,8196,655,15,74,204,909,394,2604,0.4238,657," OH","Napoleon",0.930834752981261,0.00170357751277683,0.00840431572969903,0.074389551391255,0.0231686541737649,0.103236797274276,0.0635381390098371
"2264","Nappanee, IN","61111",50106,33.5,21481,40403,57000,81182,7052,6806,433,142,0,4,766,201,1472,0.4068,498," IN","Nappanee",0.965116279069767,0.0201361315938741,0,0.0614010209869541,0.000567214974475326,0.108621667612025,0.0360215053763441
"2265","Narrows, VA--WV","61138",40903,44,18007,34402,47269,72333,3930,3881,55,15,15,17,387,65,1517,0.396,594," VA--WV","Narrows",0.987531806615776,0.00381679389312977,0.00381679389312977,0.0139949109414758,0.00432569974554707,0.0984732824427481,0.0269374222958972
"2266","Nashua, NH--MA","61165",75243,40.1,33278,59885,91744,132902,228062,207743,13261,3693,9030,4931,57086,9398,49614,0.4088,1128," NH--MA","Nashua",0.910905806315826,0.0161929650709018,0.0395944962334804,0.0581464689426559,0.0216213135024686,0.25030912646561,0.0526652021877522
"2267","Nashville, AR","61192",31187,32.5,12497,23901,40235,61857,4463,2115,853,1611,0,0,315,203,1222,0.444,495," AR","Nashville",0.47389648218687,0.360967958772126,0,0.191127044588842,0,0.0705803271342147,0.0626349892008639
"2268","Nashville, GA","61219",24272,38.8,10721,18529,29509,55583,4655,3568,21,1028,8,26,393,388,2023,0.4739,497," GA","Nashville",0.766487647690655,0.220837808807734,0.00171858216970999,0.00451127819548872,0.00558539205155746,0.0844253490870032,0.14741641337386
"2269","Nashville, IL","61246",43611,40.1,17721,32945,49720,86435,3317,3234,32,40,40,0,745,141,1040,0.4932,646," IL","Nashville",0.974977389207115,0.0120590895387398,0.0120590895387398,0.00964727163099186,0,0.224600542659029,0.0619235836627141
"2270","Nashville-Davidson, TN","61273",53344,35.1,23411,42785,66828,106905,1008027,709638,88472,209487,31204,21595,246903,41462,244007,0.4797,879," TN","Nashville-Davidson",0.703987095583749,0.207818838185882,0.0309555200406338,0.0877674903549211,0.0214230372797554,0.244936891571357,0.0542682128740085
"2271","Nassau Village-Ratliff, FL","61300",57406,43.3,18407,39902,61633,101658,5603,4999,71,496,0,6,473,162,1975,0.3845,589," FL","Nassau Village-Ratliff",0.892200606817776,0.0885240049973229,0,0.0126717829734071,0.00107085489916116,0.0844190612172051,0.0446527012127894
"2272","Natchez, MS--LA","61327",29940,40.2,10994,22614,40253,64597,27402,11800,374,15183,114,182,3418,1290,10713,0.5113,601," MS--LA","Natchez",0.430625501788191,0.554083643529669,0.00416028027151303,0.0136486387854901,0.00664185095978396,0.124735420772206,0.0772964227934568
"2273","Natchitoches, LA","61354",27866,28.7,9559,20292,36333,71402,19849,7522,379,11839,114,159,2624,1269,6400,0.5524,616," LA","Natchitoches",0.378961156733337,0.596453221824777,0.00574336238601441,0.0190941609149076,0.00801047911733589,0.132198095621946,0.0943564577291992
"2274","Navasota, TX","61381",39163,34,13478,27000,49435,71088,7336,4510,3049,1944,0,244,534,161,2977,0.4402,653," TX","Navasota",0.614776444929117,0.264994547437296,0,0.41562159214831,0.0332606324972737,0.0727917121046892,0.0369350768524891
"2275","Nebraska City, NE","61408",44421,38.7,19899,36248,53905,73991,7160,6705,943,14,86,194,922,251,1904,0.3725,637," NE","Nebraska City",0.93645251396648,0.00195530726256983,0.0120111731843575,0.131703910614525,0.0270949720670391,0.12877094972067,0.0477549467275495
